pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
couldn't import doomish
Couldn't import doom
Beginning Training...
         673055 function calls (658794 primitive calls) in 39.166 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.024    0.006 rnn.py:1(<module>)
      209    0.005    0.000    0.024    0.000 Image.py:2457(fromarray)
23263/22665    0.023    0.000    0.024    0.000 {built-in method builtins.len}
      585    0.018    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     5132    0.014    0.000    0.023    0.000 utils.py:51(add_argument)
    23635    0.022    0.000    0.022    0.000 {method 'startswith' of 'str' objects}
      649    0.003    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       32    0.002    0.000    0.022    0.001 __init__.py:357(namedtuple)
        1    0.000    0.000    0.022    0.022 index_tricks.py:1(<module>)
        1    0.000    0.000    0.022    0.022 reduction.py:10(<module>)
     4727    0.012    0.000    0.022    0.000 utils.py:81(<lambda>)
        1    0.000    0.000    0.021    0.021 os.py:968(popen)
        1    0.000    0.000    0.021    0.021 subprocess.py:588(__init__)
        1    0.000    0.000    0.021    0.021 subprocess.py:1208(_execute_child)
     4727    0.012    0.000    0.020    0.000 utils.py:79(<lambda>)
      504    0.002    0.000    0.020    0.000 event_file_writer.py:141(add_event)
    16279    0.020    0.000    0.020    0.000 sre_parse.py:232(__next)
        1    0.000    0.000    0.020    0.020 __init__.py:10(<module>)
        1    0.000    0.000    0.020    0.020 platform.py:10(<module>)
      585    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
9418/9346    0.013    0.000    0.019    0.000 {method 'join' of 'str' objects}
      503    0.011    0.000    0.019    0.000 sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.019    0.019 bernoulli.py:1(<module>)
      209    0.002    0.000    0.018    0.000 Image.py:2396(frombuffer)
      504    0.005    0.000    0.018    0.000 queue.py:115(put)
        1    0.000    0.000    0.018    0.018 raycastmaze.py:3(<module>)
      702    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap>:147(__enter__)
       12    0.000    0.000    0.018    0.001 pyparsing.py:4210(__init__)
       64    0.000    0.000    0.018    0.000 __init__.py:1407(get_metadata_lines)
    36/11    0.000    0.000    0.018    0.002 pyparsing.py:3702(leaveWhitespace)
        1    0.000    0.000    0.017    0.017 version.py:4(<module>)
       64    0.001    0.000    0.017    0.000 __init__.py:1401(get_metadata)
        1    0.000    0.000    0.017    0.017 py3k.py:4(<module>)
       14    0.001    0.000    0.017    0.001 enum.py:366(_create_)
      471    0.002    0.000    0.017    0.000 pyparsing.py:1144(copy)
        1    0.000    0.000    0.017    0.017 raycast.py:1(<module>)
     4961    0.011    0.000    0.017    0.000 sre_parse.py:163(__getitem__)
        1    0.000    0.000    0.017    0.017 numeric.py:1(<module>)
        1    0.000    0.000    0.016    0.016 socket.py:47(<module>)
      204    0.001    0.000    0.016    0.000 __init__.py:162(draw_background)
        2    0.000    0.000    0.016    0.008 ple.py:159(init)
        1    0.000    0.000    0.016    0.016 Image.py:30(<module>)
       92    0.016    0.000    0.016    0.000 {built-in method io.open}
        1    0.000    0.000    0.016    0.016 pdb.py:66(<module>)
       64    0.003    0.000    0.016    0.000 __init__.py:1515(_get)
     1356    0.008    0.000    0.016    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      168    0.002    0.000    0.016    0.000 fromnumeric.py:2817(mean)
      471    0.005    0.000    0.015    0.000 copy.py:66(copy)
       17    0.005    0.000    0.015    0.001 enum.py:124(__new__)
        1    0.000    0.000    0.015    0.015 pathlib.py:1(<module>)
     5695    0.010    0.000    0.015    0.000 utils.py:92(<lambda>)
       13    0.000    0.000    0.015    0.001 pyparsing.py:2612(__init__)
        1    0.000    0.000    0.015    0.015 mbcsgroupprober.py:30(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:186(__init__)
    10080    0.013    0.000    0.015    0.000 enum.py:517(__new__)
        1    0.000    0.000    0.015    0.015 result.py:1(<module>)
        2    0.000    0.000    0.015    0.007 pygamewrapper.py:57(_setup)
     6942    0.015    0.000    0.015    0.000 module.py:504(__getattr__)
     1185    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.014    0.014 version.py:191(Version)
    15897    0.014    0.000    0.014    0.000 {method 'strip' of 'str' objects}
     9606    0.014    0.000    0.014    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.014    0.014 board.py:1(<module>)
    61/11    0.000    0.000    0.014    0.001 pyparsing.py:3247(leaveWhitespace)
     2270    0.009    0.000    0.014    0.000 version.py:114(_parse_version_parts)
        1    0.000    0.000    0.014    0.014 case.py:1(<module>)
      654    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        2    0.014    0.007    0.014    0.007 {built-in method pygame.base.init}
    11016    0.014    0.000    0.014    0.000 {method 'split' of 'str' objects}
       78    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      168    0.003    0.000    0.013    0.000 _methods.py:58(_mean)
   131/65    0.001    0.000    0.013    0.000 pyparsing.py:3322(copy)
        1    0.000    0.000    0.013    0.013 utils.py:5(<module>)
        1    0.000    0.000    0.013    0.013 descriptor.py:33(<module>)
        1    0.013    0.013    0.013    0.013 {built-in method _posixsubprocess.fork_exec}
     5139    0.009    0.000    0.013    0.000 utils.py:75(<lambda>)
     4727    0.008    0.000    0.013    0.000 utils.py:83(<lambda>)
        2    0.000    0.000    0.013    0.006 connection.py:1(<module>)
     4727    0.008    0.000    0.012    0.000 utils.py:77(<lambda>)
       20    0.012    0.001    0.012    0.001 {built-in method zeros_like}
      209    0.001    0.000    0.012    0.000 Image.py:675(__array_interface__)
        1    0.000    0.000    0.012    0.012 plistlib.py:47(<module>)
        1    0.000    0.000    0.011    0.011 api_implementation.py:32(<module>)
        1    0.000    0.000    0.011    0.011 tempfile.py:24(<module>)
      352    0.011    0.000    0.011    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      140    0.002    0.000    0.011    0.000 sre_compile.py:482(_compile_info)
        1    0.000    0.000    0.011    0.011 traceback.py:1(<module>)
      168    0.006    0.000    0.011    0.000 DQNAgent.py:122(<listcomp>)
        1    0.000    0.000    0.011    0.011 __init__.py:224(_load_images)
       13    0.003    0.000    0.011    0.001 enum.py:625(<listcomp>)
        1    0.000    0.000    0.011    0.011 ple.py:92(__init__)
      652    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
   131/65    0.001    0.000    0.011    0.000 pyparsing.py:3324(<listcomp>)
      209    0.003    0.000    0.011    0.000 Image.py:2322(new)
 1920/853    0.008    0.000    0.011    0.000 sre_parse.py:173(getwidth)
      652    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.011    0.011 doom.py:1(<module>)
        1    0.000    0.000    0.010    0.010 serialization.py:182(save)
        1    0.000    0.000    0.010    0.010 serialization.py:122(_with_file_like)
       27    0.000    0.000    0.010    0.000 traceback.py:200(extract_stack)
        1    0.000    0.000    0.010    0.010 random.py:38(<module>)
        1    0.000    0.000    0.010    0.010 shutil.py:5(<module>)
      250    0.003    0.000    0.010    0.000 __init__.py:1952(<genexpr>)
      504    0.004    0.000    0.010    0.000 x2num.py:10(make_np)
        1    0.000    0.000    0.010    0.010 bdb.py:1(<module>)
        1    0.000    0.000    0.010    0.010 linecache.py:6(<module>)
      612    0.002    0.000    0.010    0.000 sprite.py:1482(spritecollide)
       27    0.001    0.000    0.010    0.000 traceback.py:319(extract)
